source,target,en_length,zh_length
"The alternative is that the afterlife really is only suffering, and that would mean his mother is in the same place.",又或者说，死后的世界-他母亲所在的世界-唯有折磨。,116,25
That everyone's going to that place.,那就是所有人的归宿。,36,10
"Cameron squirms in his seat, the feeling of a suffocating dread creeping up under his neck.",Cameron坐卧不安，一股令人窒息的恐惧悄然升起。,91,26
{b}{cps=30}Drowning forever...{/b}.,{b}{cps=30}永远沉溺...{/b}.,35,23
"Cameron suddenly turns to look at his boyfriend, unable to deal with the awkward silence any longer.",Cameron终于无法继续忍受这尴尬的沉默，头猛地一转看向自己的男友。,100,35
"Devon tilts his head slightly in Cameron's direction, brows raised to show he's listening.",Devon朝Cameron的方向歪了歪头，眉毛挑起，表示他有在听。,90,33
He doesn't take his eyes off the road.,他依然目不转睛地盯着路面。,38,13
"Either because it's nighttime, or more likely because of what they just dealt with, the bear is being notably cautious.",或是由于天色已晚，又或是刚刚的经历使得熊格外谨慎。,119,25
"Still, there's a sense of urgency in his driving, like he's trying to get out of there as fast as he can.",尽管如此，他的行车方式仍不失急迫，就好像他试图以最快的速度逃离这里。,105,34
Cameron struggles to find the right words.,Cameron努力斟酌着话语。,42,15
Cameron can't wait until then.,Cameron等不到那个时候。,30,15
"Cameron sees Dev's brows rise again, this time in surprise.",Cameron看到Dev的眉毛又挑了起来，诧异地。,59,25
Cameron can't quash the feeling that he should be the one apologizing right now.,此刻，Cameron只觉得该道歉的是他自己才对。,80,24
"Dev pauses, apparently waiting for a response, but Cameron can't think of one to give him.",Dev顿了顿，显然是在等一个回复，但Cameron的大脑只有一片空白。,90,35
Cameron is almost certain that's the same word Devon used just before they left to describe how this investigation would feel.,Cameron几乎可以肯定，Devon在出发前也用同样的词形容过这次调查。,126,37
Fun.,有趣。,4,3
"Cameron sees Dev grit his teeth and the coyote feels himself recoil a bit, like he did on a daily basis with Dylan.",看到Dev咬紧了牙齿，Cameron吓得浑身一抖，这也是过去他和Dylan在一起时每天都会发生的。,115,49
The coyote steels himself.,郊狼坚定了自己的想法。,26,11
"He shouldn't ever feel afraid of Devon, he doesn't need to.",他没有任何理由害怕Devon，他也不需要害怕。,59,23
"He says it firmly, in a way that he hopes shows Devon that he's not completely fragile, even if he did break down in the motel room.",他的语气中充满了坚定，希望借此向Devon表明，即使他确实在汽车旅馆里崩溃了，可他并没有那么脆弱。,132,49
"But Devon is quiet, and Cameron feels himself start to get a little frustrated that he's being ignored.",但Devon只是一言不发，正当Cameron为自己被忽视而感到沮丧的时候。,103,37
But then the bear responds.,熊突然开了口。,27,7
"Despite knowing Dev meant nothing by that, Cameron feels offended, like Devon doesn't think he's good enough, or strong enough to do this.",尽管知道Dev没有那个意思，但Cameron还是有些生气，就好像Devon认为他不够优秀，不够坚强，不能够面对这些。,138,58
Now it's Cameron who grits his teeth.,现在轮到Cameron咬牙了。,37,15
"\""{cps=30}{b}Do you still want it?\""{/b}",\,40,1
Dev's careful maneuvering along the broken road hits a pothole and the interior shakes.,Dev小心地行驶在这条崎岖的公路上，突然驶过的坑洞令车子一震。,87,31
Devon winces.,他犹豫了。,13,5
"And just like that, Cameron's determination dries up.",就这样，Cameron的决心干涸了。,53,18
He hates himself for being such a coward.,他痛恨自己如此软弱。,41,10
"Things had always felt unequal in their relationship, but it was rare for Dev to just say it out loud, to tell the coyote what's good for him even though Cameron told him what he wanted.",虽然他们之间的关系始终不太对等，但Dev很少像现在这样，对Cameron强加他认为最好的决定，即便这会违背Cameron的意愿。,186,64
"It's nothing like it was with Dylan, but the feeling is similar, and Cameron doesn't like that.",跟与Dylan相处时完全不同，但这种感觉是相似的，Cameron不喜欢这样。,95,38
"Devon takes a deep breath, but manages to keep calm.",Devon深吸一口气，尽可能压制住自己的情绪。,52,23
Cameron goes quiet again.,Cameron又沉默了。,25,12
"They're halfway past the lake, the body of water looking like a giant, dark pit except where the moon glitters on its surface, and that's when Cameron sees something out of the corner of his eye.",若不是倒映在湖面上的粼粼月光，他们简直如同游离在能够吞噬一切的黑洞边缘。就在此时，Cameron无意中瞥到了什么。,195,57
There's something on the road between two craters of broken asphalt.,有一个物体，伫立在泊油路的两处坑洼之间。,68,20
"Cameron stares for several seconds, not sure if he's seeing what he thinks he's seeing.",Cameron凝视了好几秒钟，不知道那是否是他认为的东西。,87,29
"He waits for Devon to say something, to wonder what the hell that is in front of them--",他等待着Devon开口，好确定挡在前面的究竟是什么鬼—,87,27
"--but he says nothing, almost like he doesn't see it.",—但他什么也没有说，就像什么也没有看到一样。,53,22
"Yet.{cps=3}..{/cps}{w=0.4}there it is, {w=0.4}right in front of them.",然而{cps=3}...{/cps}{w=0.4}那东西就在那里，{w=0.4}就在他们正前方。,69,48
"And it's right where Devon is about to go, and the bear isn't stopping.",Devon笔直冲了过去，丝毫没有刹车的迹象。,71,22
Cameron manages to jerk himself out of his stunned daze.,Cameron奋力摆脱了呆滞。,56,15
"Dev finally looks at Cameron, his eyes off the road, and still the jeep moves forward.",Dev的眼睛终于离开了公路，看向Cameron，可吉普车依旧不断向前。,86,35
Why isn't he stopping!?,他为什么不停下！？,23,9
The coyote does the first thing that comes to his mind.,郊狼下意识地做出了行动。,55,12
Time slows down.,时间慢了下来。,16,7
"It's just like what happened back in high school, right before he got hit by a car while skateboarding.",就像他高中那年，在玩滑板时被车撞飞那样。,103,20
"He has more time to react now than he did then though, and he slides his arm under his seatbelt to get free and reaches across the center console.",不过现在他有更多的反应时间。他把手从安全带中挣脱，并伸向另一侧的中控台。,146,36
"He grabs the wheel, and even though Dev is starting to brake, it's not fast enough, and they're less than 20 feet away from hitting it.",他抓住了方向盘，尽管Dev已经开始刹车，但已经来不及了，他们离撞上那东西只剩下不到20英尺。,135,46
"The coyote doesn't even think, acting on pure instinct.",郊狼甚至没有经过思考，纯粹凭着本能行事。,55,20
"Cameron turns the wheel to the right, hard.",Cameron把方向盘狠狠向右打去。,43,18
"Devon can't comprehend what Cameron's doing before they hit something, and the jolt is far worse than any pothole he'd hit on the road.",Devon无法理解Cameron的所作所为，直至他们撞到了什么，而这次颠簸也比之前碰到的任何坑洼来得猛烈。,135,53
Devon is thrown into his seatbelt.,Devon被安全带勒回到了座位上。,34,17
"In the back of his mind, he's aware that Cameron is half out of his own seatbelt.",他依稀记得Cameron挣脱了一半的安全带。,81,22
"Driven by what feels like pure reflex, Devon throws his arm across the coyote in an attempt to hold him back.",在纯粹的条件反射驱使下，Devon伸出手臂，试图固定住那只郊狼。,109,32
Cameron's muzzle meets the bear's thick arm before his forearm smacks into the screen of the head unit.,Cameron的鼻子深陷在熊结实的胳膊中，随后一同撞上了车载屏幕。,103,33
"A numbing, tingling feeling explodes across his entire arm.",麻木与阵痛传遍了他的整条手臂。,59,15
"Dev brings his arm to his chest, cradling it as he winces.",Dev疼得龇牙咧嘴，把手臂轻轻抱在自己胸前。,58,22
Cameron's breathless voice next to him is enough to reassure Dev that the coyote isn't seriously injured.,耳旁气喘吁吁的声音证明，Cameron没有受重伤，这足以令Dev松一口气了。,105,38
"The airbags hadn't even deployed, even though the impact had felt serious.",尽管撞击感如此强烈，可安全气囊并没有弹出来。,74,22
Dev tries to grab Cameron's muzzle to have a closer look at him.,Dev试图抓住Cameron的吻部，好仔细检查对方的伤势。,64,29
"It's hard to see with only the glow of the jeep's headlights, now dimmed from the swirling dust kicked up by the accident.",不过这仅凭吉普车前灯很难实现，更别提还有车祸扬起的尘土干扰。,122,30
"But Cameron pulls away, opening his door to get out.",但Cameron推开了他的手，打开车门准备下车。,52,24
The coyote yelps as he seems to lose his footing immediately and falls hard.,郊狼尖叫着，一个踉跄重重摔了下去。,76,17
Dev unbuckles his seatbelt and almost tries to climb out Cameron's side of the Jeep.,Dev解开安全带，差点就要从Cameron那侧爬出。,84,26
"Then, realizing what he's doing, opens his own door to get out, almost falling himself as his feet touch uneven ground.",然后回过神来，推开自己这边的车门下了车。他一脚踩在这崎岖的路面上，险些摔了一跤。,119,40
"Dust coats his mouth as he looks up the road, and immediately he can still see Echo from here.",他的嘴巴顿时蒙上了一层薄薄的灰尘。随后他沿路望去，即便站在这里，回音镇仍一目了然。,94,41
He knew this was going to happen.,他早就知道会是这样。,33,10
That something was going to prevent them from getting out.,有东西想阻止他们离开。,58,11
He could feel it since he started driving.,他在开车前就该注意到的。,42,12
He just didn't expect Cameron to be the one to do it.,只是，他没有料到那个人会是Cameron。,53,21
"The Jeep is tilted forward, the front wheels wedged into a deep trench carved out by years of flooding along the edge of the road.",吉普车车身前倾，前轮卡在了路边多年洪水冲刷出的深沟中。,130,27
"Dev stumbles around the front of the Jeep, squinting against the headlights before looking down where Cameron had fallen, but he only sees blackness.",Dev跌跌撞撞地走到车前，顶着车头灯眯眼看向Cameron倒下的地方，却只看到一片漆黑。,149,44
"He starts to panic, seriously considering that the coyote could have fallen into a sinkhole, but then--",他开始慌了神，并严肃思考郊狼是否掉进了一个天坑中，不过紧接着-,103,31
"Dev looks back toward the road, the dust finally clearing, and sees that Cameron is already there, standing in the middle of it, looking around confused like he's lost something.",Dev回头看向身后的公路，纷飞的尘土终于散去，他看到Cameron正站在路中央，像丢了什么东西一样，困惑地四处张望。,178,58
"Dev stumbles back around the Jeep, just wanting to get the coyote back inside so he doesn't go running off somewhere.",Dev蹒跚着来到车尾，一心只想把郊狼带回车上，免得他又到处乱跑。,117,32
"The bear already suspects that Cameron is having a mental breakdown, and if they don't get the hell out of here soon, Dev thinks he just might join him.",这头熊怀疑Cameron已经精神崩溃了，如果没能尽快逃离这个鬼地方，他自己恐怕也无法幸免。,152,45
"Cameron ignores Dev's paws that are reaching out toward him and starts walking up the road, looking back and forth.",Cameron无视Dev伸过来的爪子，沿着公路走了起来，还一边来回张望。,115,36
The stress of the accident on top of seeing his boyfriend walking back toward the evil town is too much for Devon.,看到自己的男友朝那个邪门的小镇走了回去，再加上车祸带来的压力，Devon再也承受不住了。,114,44
"He grabs Cameron's arm, forcing him to turn around fully and face.",他抓住Cameron的手臂，一把将他拽了回来。,66,23
"Cameron flinches and raises his arms up, crossing one wrist over the other, covering his face like he thinks Dev is going to...",Cameron害怕地举起双臂，手腕交叉挡在脸前，就好像他以为Dev会...,127,37
"But the coyote just lowers his arms, looking around again.",但郊狼只是垂下胳膊，再次环顾起了四周。,58,19
"Devon just wants to ask why Cameron acted like he was going to hit him, but the coyote is in such clear distress the bear isn't sure what to say.",不过Devon只在意一件事，那就是Cameron为何摆出一副挨打相，但郊狼心急如焚的模样令他不知该如何开口。,145,54
Then Cameron looks at the Jeep as if seeing what had happened for the first time.,Cameron看向吉普车，似乎才意识到发生了什么。,81,25
"Cameron's breaths start to become erratic, gasping for air.",Cameron的呼吸开始紊乱，他大口喘着粗气。,59,23
Dev wraps his arms around the coyote even as he starts to try and pull away.,Dev用双臂紧紧抱住了郊狼，即便对方在不停地挣扎。,76,25
Dev presses the side of Cameron's head to his chest and takes a deep breath.,Dev将Cameron头侧压在自己胸前，深吸一口气。,76,26
"Devon keeps his voice upbeat, his expression cheerful; the complete opposite of what he's actually feeling right now.",Devon保持着乐观的声音，流露出愉快的笑容：尽管他的实际感受正处于另一个极端。,117,40
But showing how distressed he is clearly isn't helping the situation.,他明白，表现得再痛苦也无济于事。,69,16
So this breathing exercise is also for his benefit.,这个呼吸练习同样是为了他自己。,51,15
"The last time they'd done this was at least a few years ago, now.",他们上一次这样做至少也是几年前了。,65,17
"And just like last time, it seems to work, the coyote fighting his gasping for a minute before his breathing becomes more steady, albeit a little shaky.",而就和上次一样，呼吸练习似乎奏效了。郊狼奋力了近一分钟，呼吸终于趋向平缓，只是还有些颤抖。,152,45
"They breathe in unison for a few minutes, the bear stroking Cameron's head like he had only half an hour ago in the motel room.",他们一齐呼吸了几分钟，熊安抚着Cameron的头，就像半小时前在汽车旅馆里做的那样。,127,42
Was it really only two hours ago that he'd been giddy at the thought of a paranormal investigation with his psychic boyfriend?,他难以相信就在两个小时前，他还在为能跟自己的灵媒男友进行超自然调查而高兴得忘乎所以。,126,42
"Finally, Cameron pulls away gently.",最后，Cameron轻轻推开了他。,35,17
"Dev gently turns Cameron toward the headlights of the still-running car, lightly running his blunt claws through the fur.","Dev小心地将Cameron转向仍在运转的车前灯, 用钝爪轻轻撩开Cam的毛发。",121,40
"One of Devon's claws grazes over a small lump under Cameron's fur on the bridge of his snout, and the coyote winces.",Devon的爪子擦过了Cameron鼻梁上的一处小肿块，郊狼不禁皱起了眉。,116,37
Cameron starts doing his own check of Devon's arm.,Cameron检查起了Devon的手臂。,50,20
The bear yelps as Cameron prods right into a spot that is suddenly becoming very sore.,Cameron正好戳到了痛点，突如其来的剧痛令熊忍不住尖叫了一声。,86,33
"Cameron sighs, looking back at the Jeep.",Cameron叹了口气，目光落回他们的吉普车上。,40,24
"The relief Devon had felt after seeing Cameron returning to his usual, snarky self deflates at those words.",这几个字将Devon放下的心又重新吊了起来。,107,22
"Devon starts to analyze the status of his jeep, and he can tell right away that they aren't going anywhere.",Devon分析起这辆吉普车的状况，并马上判断出他们怕是哪也去不了了。,107,34
"Both front wheels are almost buried in the sandy trench below, and both of the back wheels are definitely off the ground, the undercarriage balanced on the road's edge.",两个前轮几乎彻底陷入了沙沟，后轮被完全抬离地面，全靠底盘的支撑保持着平衡。,168,37
"Still, Dev gets in and, after telling Cam to stand clear, very gently tries to back out.",不过Dev还是上了车，在让Cam站远点后，他小心翼翼地试图把车倒出来。,88,35
"The bear winces at the scraping sounds from the metal undercarriage, realizing how desperate he is to get out of here considering how hopelessly stupid this attempt is.",底盘发出的剐蹭声令这头熊意识到他是多么不顾一切地想要逃离这里，甚至寄希望于这种蠢到无可救药的尝试。,168,49
"After realizing he's only spinning the wheels deeper into the dirt, he stops.",意识到这只会让车轮陷得更深之后，他放弃了。,77,21
"The bear turns off the engine, sighing and pressing his head against the steering wheel.",熊熄了火，叹了口气，趴在方向盘上。,88,17
"Sure, it sucked that his jeep is probably all fucked up now, but he can easily afford another one.",宝贝吉普的报废是很令他糟心，不过再买一辆也绝非什么难事。,98,28
"More than anything, he just wanted to be out of Echo.",他只是想离开回音镇，胜过一切。,53,15
He thinks back on how strange it was that Cameron immediately tried to convince him that he didn't do it on purpose.,现在回想起来，他愈发觉得Cameron如此着急地表示自己不是故意的有多反常。,116,38
Devon didn't need to be convinced because he hadn't even considered that was the case.,Devon不需要被说服，因为他压根没有考虑过这种可能性。,86,28
But because of how he brought it up...,但Cameron当时表现得...,38,16
"Devon quickly shuts that down, deciding that now isn't the time for shitty thoughts like that.",Devon摇摇头，把这件事放在脑后，他知道现在不是胡思乱想的时候。,94,33
"Finally, the bear gets out, fixing a smile on his face again so Cameron won't feel so bad.",终于，这只熊下了车，他挤出一个微笑，不想让Cameron感到太过自责。,90,35
"Dev looks around and, to his dismay, spots the coyote a ways up the road, toward Echo again, though he's standing off to the side right next to the lake.",Dev四下看了看，惊愕地发现郊狼又朝回音镇的方向走了一段，尽管他已经停在了岸边。,153,40
"He's looking over the edge, down at the water.",他正目不转睛地盯着湖水。,46,12
"The bear jogs up to the coyote, putting an arm around him.",熊一路小跑向郊狼，用胳膊搂住了他。,58,17
Cameron finally turns to look at the bear.,Cameron终于抬头看向熊。,42,15
Dev looks over the edge at the murky water below.,Dev看了眼昏暗的湖水。,49,12
"Almost immediately after, the bear instinctively pulls back, taking Cameron with him.",不过一瞬间，这头熊本能退后了几步，连带着Cameron一起。,85,30
Cameron lets out a fake laugh.,Cameron干巴巴地笑了。,30,14
Cameron goes quiet.,Cameron沉默不语。,19,12
"Seeing just how unhappy Cameron is, the bear takes a deep breath, deciding to tell him.",看到Cameron如此不高兴，熊深吸一口气，决定把事情告诉他。,87,31
"It only reminds Dev that Cameron could see anything, terrible things, and that could lead to more mental anguish for his boyfriend.",这只会提醒Dev，Cameron能够看见那些可怕的东西，并可能遭受更多精神上的折磨。,131,42
Cameron is quiet.,Cameron没有说话。,17,12
It's silent for a few excruciating seconds.,令人窒息的沉默。,43,8
"Cameron's ears twitch as Dev raises his voice, which seems to reverberate in the silence.",Cameron的耳朵因为Dev突然提高的嗓门而抽动着，他的声音在寂静中回荡。,89,38
"But the coyote just goes on standing there, arms crossed like they almost always were.",但郊狼只是一动不动地站在那里，行惯性地抱起双臂。,86,24
"Devon hurries to catch up with his boyfriend, sliding his paw into Cameron's and gripping it tightly.",Devon赶忙追上他的男友，紧紧地握住Cameron的爪子。,101,30
"Cameron has a look on his face like he's a bit pleased with himself, and Devon can't figure out why.",Cameron露出了像是心满意足的表情，但Devon不明白为什么。,100,33
"It's like the coyote thinks he's winning some kind of game, and Devon has to grit his teeth so he doesn't start an argument all over again.",就像是郊狼认为自己赢得了某种游戏，而Devon只能咬牙切齿地把反驳的话咽进肚子里。,139,41
"Just an hour ago, Cameron was sobbing after seeing and hearing terrible things, and now he's walking back in the same direction like it's nothing.",一小时前，Cameron还在因那些可怕的经历而泣不成声，现在却又像没事人一样朝同一个方向走了回去。,146,49
Maybe the coyote is more resilient than the bear had always thought.,也许郊狼比熊一直以为的更具适应力。,68,17
And maybe the bear is finding out how not-resilient he himself is.,又或许是熊意识到了自己有多么的不坚定。,66,19
"His stomach growls loudly, and when Cameron jokingly asks if he's hungry, Devon lies and says yes.",他的肚子叫得厉害，当Cameron开玩笑地问他饿不饿时，Devon谎称是。,98,37
"In reality, it's from anxiety, something he isn't used to feeling all that often.",但实际上，这是因为焦虑，他不习惯这种感觉。,81,21
The bear only finds comfort in gripping Cameron's paw even tighter and promising himself that he won't let anything else bad happen to them.,唯有将Cameron的手紧紧握住，这头熊才能从中找到些许安慰。他暗自发誓，绝不会再让不好的事降临在他们头上。,140,54
"Cameron presses up tightly against Devon's side, breathing in the comforting scent of his cologne.",Cameron紧靠着Devon，呼吸着对方身上令人安心的古龙水味。,98,33
"Cam's show of confidence has mostly diminished at this point, especially as they're passing the motel.",Cam展露出的自信此时尽然褪去，尤其是他们经过汽车旅馆时候。,102,30
"The coyote has to remind himself why it is that he insisted on doing this when Dev had offered a perfectly reasonable, if slightly exhausting alternative.",郊狼不得不提醒自己，为什么在Dev提出了一个虽然累人、却完全合理的选择时，他仍坚持己见。,154,44
Being exhausted is preferable to PTSD.,精疲力尽总比PTSD要好。,38,13
"But Cameron could sense the bear beginning to treat him in a way that he didn't like, talking to him like he was fragile, like the slightest touch could tip him over where he'd shatter on the asphalt.",可Cameron能察觉到，熊开始以一种他不喜欢的方式对待他。好像自己脆弱得只要轻轻一碰，就会被掀翻在地，摔碎在柏油路上。,200,60
He wants to prove that he can deal with this.,他想证明自己能处理好这件事。,45,14
Which is why he has to smirk at himself right now because he definitely wouldn't have made it this far if Dev weren't by his side.,这也是他之所以自嘲的原因，若不是Dev在他身边，他肯定撑不到现在。,130,33
"Right now, the bear has a steely grip on Cameron's paw, making it clear that he isn't letting go.",现在，熊牢牢地握住了Cameron的爪子，明确表示自己不会放开。,97,32
"Meanwhile, their free paws hold their phones, checking every now and then for a signal.",与此同时，他们用另一只手拿着手机，时不时查看有没有信号。,87,28
Cameron turns his phone off while Dev looks on.,在Dve的旁观下，Cameron关掉了手机。,47,22
"Cameron has to wonder if their meandering conversation is purposeful on Dev's part, if only to distract him from what's across the road.",Cameron不得不怀疑这不着边际的对话是否是Dev有意为之，哪怕只是为了分散他的注意力。,136,45
"Either way, the coyote is thankful for it.",无论是与否，郊狼都很感激。,42,13
"About fifteen minutes later, Cameron starts to become a bit more agitated.",大约十五分钟后，Cameron开始有点焦躁了。,74,23
"They're on a dirt road at this point, and every now and then they walk past crumbling structures of what used to be houses and trailers.",二人此时正行走在一条土路上，时不时经过曾经是房屋与拖车的破败建筑。,136,33
"The bear waves the phone around over his head, spinning in a slow circle.",熊缓慢转着圈，在头顶挥舞着手机。,73,16
Dev indicates a rather large grouping of trees off the side of the road that forms a bit of a miniature forest.,Dev指向路边的一大片树木，那规模简直称得上是小型森林。,111,28
"Cameron doesn't respond, instead sliding his paw into the one Dev's offering and they start to make their way through the sage brush.",Cameron没有接话，而是握住了Dev伸向自己的那只爪子，二人开始在艾灌丛中穿行。,133,42
"Dev grunts in a heavy, bearish way as Cameron wraps his arms around his neck and lifts his feet off the ground, forcing Dev to bridal carry him.",Cameron用胳膊缠住Dev的脖子，双脚一跃而起，迫使熊像抱新娘一样抱着他。Dev不禁闷哼了声。,144,49
"Chuckling, Dev carefully makes his way through the rough terrain while the coyote awkwardly keeps his feet lifted high so they don't brush the sage.",Dev咯咯笑着，小心翼翼地抱着Cameron穿过崎岖不平的地形。郊狼则笨拙地把脚抬高，以免蹭到艾草。 ,148,51
"Dev finally lowers the coyote near the edge of the forest and they stand there, looking into the blackness.",临近森林边缘，Dev终于把郊狼放了下来。两人伫立在原地，向黑暗中望去。,107,35
"Cameron can only see the branches outlined against the moonlight, but otherwise it's almost like looking into a void.",Cameron只能看到被月光勾勒出的树枝轮廓，除此之外，他就像是在凝视虚空。 ,117,39
The feeling of emptiness is emphasized by the suddenly quiet desert around them.,突然沉寂下来的沙漠更是突出了这虚无缥缈的感觉。,80,23
"Dev taps on his phone a few times, then puts it up to his ear, but only for a few seconds before he scowls.",Dev在手机上点了几下，然后放到耳边，但几秒钟后他就皱起眉头。,107,31
"Dev is hunched over his phone, tapping away.",Dev弓着腰，轻敲着屏幕。,44,13
"Cameron just sighs, letting Dev do whatever it is he's doing.",Cameron只是叹了口气，不再打扰Dev。,61,22
"Despite the bear's attempts to placate him, the coyote knows that they both know that this is his fault.",尽管熊试图安慰他，但郊狼明白，这都是自己的错。,104,23
"{b}Why don't you just tell me what a stupid, idiot, piece of shit I am?{/b}",{b}你为什么不直接告诉我，我是个多么愚蠢、欠考虑的大白痴呢？{/b},75,35
"Cameron doesn't want to admit it, even in his mind, but one thing he liked about Dylan was that he didn't sugarcoat things for the coyote.",尽管非常不想承认，但Cameron喜欢Dylan的原因之一就是，对方不会为他粉饰。,138,41
"He'd tell him when he was an idiot, either with words or fists.",当他犯傻的时候，Dylan会用言语或拳头叫醒他。,63,24
"The coyote turns his attention back to the forest, staring into the dark.",郊狼将注意力转回森林，凝视着黑暗。,73,17
"Dev doesn't know anything about him and Dylan, and Cameron sure as hell isn't ever going to tell him.",Dev对他和Dylan一无所知，Cameron也绝不会告诉他。,101,31
Especially that sometimes he was the one to swing first.,尤其是有时他才是那个先挥拳的人。,56,16
"He always lost, but the few hits he'd land always felt worth it.",虽然总是输，但打中的那几下让他觉得完全值得。,64,22
"{b}That would be a real treat for ya, Dev. Not only is your boyfriend crazy, he's violent too.{/b}",{b}那你可有的受了，Dev。你的男朋友不仅是个疯子，还是个暴力狂。{/b},98,38
"{b}\""{cps=20}Does he even know you at all?\""{/b}",{b}\,48,4
A chill goes up Cameron's spine.,一股寒意爬上了Cameron的背脊。,32,18
"That.{cps=3}..{/cps}{w=0.4} didn't feel like his own thoughts, {w=0.3}even though it came from inside his head.",这{cps=3}...{/cps}{w=0.4}声音并非他的本意，{w=0.3}可又的的确确来自于他的大脑。,111,54
"Cameron moves closer to Devon, rubbing his arms.",Cameron揉着胳膊，朝Devon靠拢而去。,48,23
"The void seems to get bigger, and even though he wants to look away, Cameron can't.",虚空似乎逐渐蔓延开来，Cameron想要移开视线，可他不能。,83,30
"He knows he's sensing again, even though he isn't meaning to.",他知道自己又有所感应了，尽管不是有意的。,61,20
"{b}\""I don't know what it was, {w=0.3}that's what really bothers me about it...\""{/b}",{b}\,85,4
"{b}\""I think I could handle something like a ghost, but not something like that.\""{/b}",{b}\,86,4
"{b}\""So it was just me and my wife, taking a walk through the old forest like we always did, and then...{w} I dunno,{w=0.3} I just got this weird feeling and everything went real quiet.\""{/b}",{b}\,191,4
"{b}\""Then this voice started, a man's voice, but it was kinda eerie, like it wasn't real.{w} Hard to explain, but it was like it was an electronic thing.\""{/b}",{b}\,159,4
"{b}\""A machine.\""{/b}",{b}\,21,4
"{b}\""It started yelling at us in this sort of playful way, like it was making fun of us, or taunting us.\""{/b}",{b}\,110,4
"{b}\""Said things like, 'the devil walks beside you', and 'I'm taking you to hell'. Weird crap like that.\""{/b}",{b}\,110,4
"{b}\""It was coming from the tops of the trees, and you could kind of hear it go up and down and come closer, like it was swinging through the branches.\""{/b}",{b}\,157,4
"{b}\""And yeah, it scared us, because it didn't make sense.{w} The voice, where it was coming from, what it was saying, none of it made sense, and that's the scary part.\""{/b}",{b}\,174,4
"{b}\""So we ran, and then it said some nasty things about my wife, so I picked her up and ran as fast as I could.{w} Later, she told me she saw it over my shoulder, in the trees.\""",{b}\,179,4
"{b}\""Had a hard time explaining it, which I understand because I can't explain it at all, but she said it was a shadow.\""{/b}",{b}\,125,4
"{b}\""A shadow person that was moving through the branches.{w} She said light bent in a weird way around its body, like it was encased in a glass globe, or something.\""{/b}",{b}\,171,4
"{b}\""She hasn't said much else about it. She doesn't like talking about it, and neither do I.{w} I'm only telling you because I feel like there needs to be a record of it somewhere.\""{/b}",{b}\,187,4
"{b}\""Just feels wrong to go out of this life without... I dunno, letting people know that unexplainable stuff happens to a lot of people, and I hope we figure out why.\""{/b}",{b}\,173,4
"{b}\""And this might not be important, but I had dreams afterwards where I'd be in that forest, and this shadow creature would come prowling out into the open.\""{/b}",{b}\,164,4
"{b}\""And then sounds would come from where its mouth would be.\""{/b}",{b}\,68,4
